Availability;DataSheetUrl;Description;FactoryStock;ImagePath;Category;LeadTime;LifecycleStatus;Manufacturer;ManufacturerPartNumber;Min;Mult;MouserPartNumber;AlternatePackagings;ProductDetailUrl;Reeling;ROHSStatus;SuggestedReplacement;MultiSimBlue;AvailabilityInStock
None;https://www.mouser.com/datasheet/2/707/ile-1396360023-1290888.pdf;Input Devices 720TFX-i Series 4 keys;0;https://www.mouser.com/images/storminterface/images/7203-04CW20_SPL.jpg;Input Devices;0 Days;None;Storm Interface;7203-04CW203;1;1;491-7203-04CW20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/7203-04CW203?qs=ZHnit%2F3SKrrJJzotJWr1AA%3D%3D;False;RoHS Compliant;;0;0
None;;USB Cables / IEEE 1394 Cables USB Display Cable (90cm);0;https://www.mouser.com/images/storminterface/images/4500-01_SPL.jpg;USB Cables / IEEE 1394 Cables;0 Days;New at Mouser;Storm Interface;4500-01;1;1;491-45001;None;https://eu.mouser.com/ProductDetail/Storm-Interface/4500-01?qs=SWp9QhCx37bEJwmz6vGPKg%3D%3D;False;;;0;0
None;;Input Devices 5000 Series Int & GFX keys;0;https://www.mouser.com/images/storminterface/images/FT4K100_SPL.jpg;Input Devices;0 Days;None;Storm Interface;FT4K1003;1;1;491-FT4K100;None;https://eu.mouser.com/ProductDetail/Storm-Interface/FT4K1003?qs=X772OquulpXTRoERsMPPxg%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/ile-1396359459-1131897.pdf;Switch Cases / Switch Covers Legend Tile Set D for GFXs;0;https://www.mouser.com/images/storminterface/images/GSD0T20_SPL.jpg;Switch Cases / Switch Covers;0 Days;None;Storm Interface;GSD0T203;1;1;491-GSD0T20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/GSD0T203?qs=ZHnit%2F3SKro%2Fa2y7nexToQ%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/ile-1395244876-1131357.pdf;Input Devices PLX Series 4 cursor arrow keys;0;https://www.mouser.com/images/storminterface/images/PLX04120_SPL.jpg;Input Devices;0 Days;None;Storm Interface;PLX041203;1;1;491-PLX04120;None;https://eu.mouser.com/ProductDetail/Storm-Interface/PLX041203?qs=ZHnit%2F3SKrodgWOQ4aP%252Bag%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/File_1465404470-2325377.pdf;Input Devices StrikeMaster ES Metal Keypad;0;https://www.mouser.com/images/storminterface/images/DX1KT20_SPL.jpg;Input Devices;0 Days;None;Storm Interface;DX1KT203;5;1;491-DX1KT20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/DX1KT203?qs=X772OquulpXn0keI5k7evg%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/ile-1396359713-1131667.pdf;Input Devices 2000 Series 16 Keys calc;0;https://www.mouser.com/images/storminterface/images/2K16010_SPL.jpg;Input Devices;0 Days;None;Storm Interface;2K160103;1;1;491-2K16010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/2K160103?qs=X772OquulpUlivMDodQHfA%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/ile-1396359459-1131897.pdf;Switch Cases / Switch Covers Legend Tile Set E for GFXs;0;https://www.mouser.com/images/storminterface/images/GSE0T20_SPL.jpg;Switch Cases / Switch Covers;0 Days;None;Storm Interface;GSE0T203;1;1;491-GSE0T20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/GSE0T203?qs=ZHnit%2F3SKrqgyKGGlV4AcA%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/File_1467963033-2325362.pdf;Input Devices StrikeMaster ES Kit Metal Keypad;0;https://www.mouser.com/images/storminterface/images/DXPS1K10_SPL.jpg;Input Devices;0 Days;None;Storm Interface;DXPS1K103;1;1;491-DXPS1K10;None;https://eu.mouser.com/ProductDetail/Storm-Interface/DXPS1K103?qs=X772OquulpW3tPI8aZdHNg%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/storm_07272018_1406-330026_Brochure-1383958.pdf;Input Devices Externally Mounted AudioNav, 6 keys, USB Interface, Audio Processor, IK08, 15kV Contact and Air, 6M3, 5V + 0.25V (USB 2.0);0;https://www.mouser.com/images/storminterface/images/1400_series_DSL_t.jpg;Input Devices;42 Days;None;Storm Interface;1406-330026;5;5;491-1406-330026;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1406-330026?qs=w%2Fv1CP2dgqpyZva%252BGCwwlA%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/File_1467963033-2325362.pdf;Input Devices StrikeMaster ES Kit Backlit Keypad;0;https://www.mouser.com/images/storminterface/images/DXPS1W10_SPL.jpg;Input Devices;0 Days;None;Storm Interface;DXPS1W103;1;1;491-DXPS1W10;None;https://eu.mouser.com/ProductDetail/Storm-Interface/DXPS1W103?qs=X772OquulpXHp8VxzAPKSA%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/File_1553267814-2325391.pdf;Audio Modules AudioComm Microphone Module (Horizontal, Silver);0;https://www.mouser.com/images/storminterface/images/AT02_series_t.jpg;Audio Modules;0 Days;None;Storm Interface;AT02-430H16;1;1;491-AT02-430H16;None;https://eu.mouser.com/ProductDetail/Storm-Interface/AT02-430H16?qs=UkDUCjYnTB3%2FPujd%2FxvuAw%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/storm_DEPS030-1284383.pdf;Input Devices 12V/6A 24V/3A DC Power Supply;0;https://www.mouser.com/images/storminterface/images/DEPS030_SPL.jpg;Input Devices;0 Days;None;Storm Interface;DEPS0303;5;1;491-DEPS030;None;https://eu.mouser.com/ProductDetail/Storm-Interface/DEPS0303?qs=ZHnit%2F3SKrrDFDRk18vNAw%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/1200_Datasheet_Oct_2020-2487687.pdf;Input Devices 1200 Series Vandal Resistant Subminiature USB Keyboard and 2.5m Cable;0;https://www.mouser.com/images/storminterface/images/1200-352026_SPL.jpg;Input Devices;0 Days;None;Storm Interface;1200-352026;5;5;491-1200-352026;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1200-352026?qs=byeeYqUIh0PgXQycqEzSkA%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/File_1553267814-2325391.pdf;Audio Modules AudioComm Microphone Module (Horizontal, Black);0;https://www.mouser.com/images/storminterface/images/AT02_series_t.jpg;Audio Modules;0 Days;None;Storm Interface;AT02-530H16;1;1;491-AT02-530H16;None;https://eu.mouser.com/ProductDetail/Storm-Interface/AT02-530H16?qs=UkDUCjYnTB3wIIHmd9f2iw%3D%3D;False;RoHS Compliant;;0;0
None;;Input Devices StrikeMaster ES Kit Metal Keypad UL294;0;https://www.mouser.com/images/storminterface/images/DXPS1K30_SPL.jpg;Input Devices;0 Days;None;Storm Interface;DXPS1K303;1;1;491-DXPS1K30;None;https://eu.mouser.com/ProductDetail/Storm-Interface/DXPS1K303?qs=X772OquulpVYkalscC2cQw%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/Storm-Interface-1917806.pdf;Input Devices AXS S40, ICLASS KEYPAD & CONTACTLESS READER;0;None;Input Devices;0 Days;None;Storm Interface;DS401KT20;1;1;491-DS401KT20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/DS401KT20?qs=GedFDFLaBXE98eQoe%2FfWLg%3D%3D;False;RoHS Compliant;;0;0
None;;Input Devices PS2 cable;0;None;Input Devices;0 Days;None;Storm Interface;1200-001003;1;1;491-1200-00100;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1200-001003?qs=X772OquulpWtas4wUa7hTQ%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/storm_Nav-Bar_Panel-1219481.pdf;Input Devices 6 Key Nav-Bar Surface Mount;0;https://www.mouser.com/images/storminterface/images/EZB6-530003_SPL.jpg;Input Devices;0 Days;None;Storm Interface;EZB6-530003;5;5;491-EZB6-530003;None;https://eu.mouser.com/ProductDetail/Storm-Interface/EZB6-530003?qs=j%252B1pi9TdxUZ0CWPoN%252BAPTg%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/storm_Nav-Bar_SMD-1219507.pdf;Audio Modules Nav-Bar Audio Module Horizontal;0;https://www.mouser.com/images/storminterface/images/EZB2-405H0-HRZNTL_SPL.jpg;Audio Modules;0 Days;None;Storm Interface;EZB2-505H03;1;1;491-EZB2-505H03;None;https://eu.mouser.com/ProductDetail/Storm-Interface/EZB2-505H03?qs=j%252B1pi9TdxUakut3QPj4FYg%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/storm_Nav-Bar_SMD-1219507.pdf;Audio Modules Nav-Bar Audio Module Vertical;0;https://www.mouser.com/images/storminterface/images/EZB2-405H0-HRZNTL_SPL.jpg;Audio Modules;0 Days;None;Storm Interface;EZB2-505003;1;1;491-EZB2-505003;None;https://eu.mouser.com/ProductDetail/Storm-Interface/EZB2-505003?qs=j%252B1pi9TdxUbP15RCEmGMsQ%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/ile-1395244876-1131357.pdf;Mounting Hardware Privacy Shield;0;None;Mounting Hardware;0 Days;None;Storm Interface;1KFS0203;1;1;491-1KFS020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1KFS0203?qs=ZHnit%2F3SKrqXD%2Fcwl%252BpGtw%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/storm_Nav-Bar_Panel-1219481.pdf;Input Devices 6 Key Nav-Bar Under Panel Mount;0;https://www.mouser.com/images/storminterface/images/EZB6-530023_SPL.jpg;Input Devices;0 Days;None;Storm Interface;EZB6-530023;5;5;491-EZB6-530023;None;https://eu.mouser.com/ProductDetail/Storm-Interface/EZB6-530023?qs=j%252B1pi9TdxUbzuvuA2TpnTQ%3D%3D;False;RoHS Compliant;;0;0
None;;Mounting Hardware SF6000 underpanel mounting kit;0;None;Mounting Hardware;0 Days;None;Storm Interface;8600-MK003;1;1;491-8600-MK00;None;https://eu.mouser.com/ProductDetail/Storm-Interface/8600-MK003?qs=X772OquulpXGXQOWLXPTOw%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/707/File_1580827035-2487786.pdf;Audio Modules Microphone Array Module Kit Includes AT00-15001 & AT01-12001, along with the required cables;0;None;Audio Modules;0 Days;None;Storm Interface;AT00-150016-KIT;5;1;491-AT00-150016-KIT;None;https://eu.mouser.com/ProductDetail/Storm-Interface/AT00-150016-KIT?qs=OlC7AqGiEDnyhHcKcIsZ1g%3D%3D;False;RoHS Compliant;;0;0
46 In Stock;;Multiple Function Sensor Development Tools GravityDigital IR Motion Sensor;0;https://www.mouser.com/images/dfrobot/images/SEN0018_SPL.jpg;Multiple Function Sensor Development Tools;22 Days;None;DFRobot;SEN0018;1;1;426-SEN0018;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0018?qs=Zcin8yvlhnOoneF8LUpSpw%3D%3D;False;RoHS Compliant;;0;46
32 In Stock;;Industrial Motion & Position Sensors IR Break Beam Sensor (50cm);0;https://www.mouser.com/images/dfrobot/images/SEN0503_SPL.jpg;Industrial Motion & Position Sensors;21 Days;New Product;DFRobot;SEN0503;1;1;426-SEN0503;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0503?qs=7D1LtPJG0i2Cj69HVibQow%3D%3D;False;;;0;32
21 In Stock;;Industrial Motion & Position Sensors RS485 Wind Speed Transmitter;0;https://www.mouser.com/images/dfrobot/images/SEN0483_SPL.jpg;Industrial Motion & Position Sensors;23 Days;New Product;DFRobot;SEN0483;1;1;426-SEN0483;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0483?qs=pBJMDPsKWf1jLg3Zk5A%2FBQ%3D%3D;False;RoHS Compliant;;0;21
16 In Stock;;Industrial Motion & Position Sensors RS485 Wind Direction Transmitter;0;https://www.mouser.com/images/dfrobot/images/SEN0482_SPL.jpg;Industrial Motion & Position Sensors;32 Days;New Product;DFRobot;SEN0482;1;1;426-SEN0482;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0482?qs=pBJMDPsKWf0sMyKW4dLbgQ%3D%3D;False;RoHS Compliant;;0;16
121 In Stock;https://www.mouser.com/datasheet/2/830/1840a7b7b14e02f3566e0cef5b51e9ba-2529214.pdf;Distance Sensors TOF IR Distance Sensor (0.2 12m);0;https://www.mouser.com/images/dfrobot/images/SEN0413_SPL.jpg;Distance Sensors;23 Days;None;DFRobot;SEN0413;1;1;426-SEN0413;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0413?qs=ljCeji4nMDnbXic0FTuMLA%3D%3D;False;RoHS Compliant;;0;121
105 In Stock;;Multiple Function Sensor Development Tools Gravity Digital Microwave Sensor;0;https://www.mouser.com/images/dfrobot/images/SEN0192_SPL.jpg;Multiple Function Sensor Development Tools;19 Days;None;DFRobot;SEN0192;1;1;426-SEN0192;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0192?qs=Zcin8yvlhnMDjv9g3sEaww%3D%3D;False;RoHS Compliant;;0;105
21 In Stock;;Distance Sensors Laser Ranging Sensor UART (4-400cm);0;https://www.mouser.com/images/dfrobot/images/SEN0491_SPL.jpg;Distance Sensors;31 Days;New Product;DFRobot;SEN0491;1;1;426-SEN0491;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0491?qs=7D1LtPJG0i2b6qggfhGQjg%3D%3D;False;;;0;21
40 In Stock;;Inclinometers Gravity: Digital 360 Tilt Sensor for Arduino;0;https://www.mouser.com/images/dfrobot/images/DFR0830_SPL.jpg;Inclinometers;22 Days;New Product;DFRobot;DFR0830;1;1;426-DFR0830;None;https://eu.mouser.com/ProductDetail/DFRobot/DFR0830?qs=7D1LtPJG0i3mw4z9ks1BmA%3D%3D;False;;;0;40
9 In Stock;;Distance Sensors Laser Ranging Sensor RS485 (4m);0;https://www.mouser.com/images/dfrobot/images/SEN0492_SPL.jpg;Distance Sensors;22 Days;New Product;DFRobot;SEN0492;1;1;426-SEN0492;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0492?qs=pBJMDPsKWf1sAgknKnxAcw%3D%3D;False;RoHS Compliant;;0;9
23 In Stock;;Distance Sensor Development Tool Gravity Digital PIR Sensor;0;https://www.mouser.com/images/dfrobot/images/SEN0171_SPL.jpg;Distance Sensor Development Tool;27 Days;None;DFRobot;SEN0171;1;1;426-SEN0171;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0171?qs=Zcin8yvlhnM9d2YwuNBviQ%3D%3D;False;RoHS Compliant;;0;23
3 In Stock;;Distance Sensors URM12 Ultrasonic Sensor(1500cm &amp; RS485);0;https://www.mouser.com/images/dfrobot/images/sen0310_SPL.jpg;Distance Sensors;0 Days;None;DFRobot;SEN0310;1;1;426-SEN0310;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0310?qs=W%2FMpXkg%252BdQ4NKOwUPPJf2Q%3D%3D;False;RoHS Compliant;;0;3
41 In Stock;;IMUs - Inertial Measurement Units Serial 6-Axis Accelerometer for Arduino;0;https://www.mouser.com/images/dfrobot/images/SEN0386_SPL.jpg;IMUs - Inertial Measurement Units;30 Days;None;DFRobot;SEN0386;1;1;426-SEN0386;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0386?qs=DRkmTr78QAS3VaTwMlAopw%3D%3D;False;RoHS Compliant;;0;41
21 In Stock;;Distance Sensors Gravity: URM09 Ultrasonic Sensor (Trig);0;None;Distance Sensors;23 Days;None;DFRobot;SEN0388;1;1;426-SEN0388;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0388?qs=IS%252B4QmGtzzqi4Z2dIu%252B2Rg%3D%3D;False;RoHS Compliant;;0;21
5 In Stock;;Distance Sensors URM13 Ultrasonic Sensor;0;None;Distance Sensors;41 Days;None;DFRobot;SEN0352;1;1;426-SEN0352;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0352?qs=eP2BKZSCXI7SV8IozK%2F%252B8A%3D%3D;False;RoHS Compliant;;0;5
59 On Order;https://www.mouser.com/datasheet/2/830/BST_BMI160_DS000-2488646.pdf;Multiple Function Sensor Development Tools Gravity: I2C BMI160 6-Axis Inertial Motion Sensor;0;https://www.mouser.com/images/dfrobot/images/SEN0250_DSL.jpg;Multiple Function Sensor Development Tools;13 Days;None;DFRobot;SEN0250;1;1;426-SEN0250;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0250?qs=%252BEew9%252B0nqrAvhKp3409h6A%3D%3D;False;RoHS Compliant;;0;0
34 On Order;;Distance Sensors URM14-RS485 Precision Ultrasonic Sensor(200KHz);0;None;Distance Sensors;192 Days;None;DFRobot;SEN0358;1;1;426-SEN0358;None;https://eu.mouser.com/ProductDetail/DFRobot/SEN0358?qs=IS%252B4QmGtzzpqTBuEwj0fFQ%3D%3D;False;RoHS Compliant;;0;0
None;;Multiple Function Sensor Development Tools Arduino 9 Axes Motion Shield;0;None;Multiple Function Sensor Development Tools;0 Days;None;DFRobot;DFR0407;1;1;426-DFR0407;None;https://eu.mouser.com/ProductDetail/DFRobot/DFR0407?qs=5aG0NVq1C4xDNePF37ayGg%3D%3D;False;;;0;0
8 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV JAM NUT RECEPT;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;392 Days;New Product;Amphenol Socapex;HDMIFTV7APEG;1;1;523-HDMIFTV7APEG;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7APEG?qs=QNEnbhJQKvbX5M7b6brvjA%3D%3D;False;RoHS Compliant;;0;8
17 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV JAM NUT RECEPT;0;https://www.mouser.com/images/amphenol/images/HDMIFTV7A_SPL.jpg;HDMI, Displayport & DVI Connectors;187 Days;New Product;Amphenol Socapex;HDMIFTV7AZN;1;1;523-HDMIFTV7AZN;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7AZN?qs=QNEnbhJQKvZpO57DbcZloQ%3D%3D;False;RoHS Compliant;;0;17
10 In Stock;https://www.mouser.com/catalog/specsheets/AMPHENOL_HDMI FTV 2 x x - 191-PLC-1039-00-AV.pdf;HDMI, Displayport & DVI Connectors HDMIFTV SQ FLG RECEPT, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;440 Days;New Product;Amphenol Socapex;HDMIFTV2AZNF459;1;1;523-HDMIFTV2AZNF459;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV2AZNF459?qs=QNEnbhJQKvZpPNSVUFXYWw%3D%3D;False;RoHS Compliant;;0;10
10 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV JAM NUT, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;441 Days;New Product;Amphenol Socapex;HDMIFTV7AGF459;1;1;523-HDMIFTV7AGF459;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7AGF459?qs=QNEnbhJQKvZAIOkgJEvhTQ%3D%3D;False;RoHS Compliant;;0;10
10 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV RED FLG, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV7A_SPL.jpg;HDMI, Displayport & DVI Connectors;471 Days;New Product;Amphenol Socapex;HDMIFTV7AZNF059;1;1;523-HDMIFTV7AZNF059;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7AZNF059?qs=QNEnbhJQKvbZLVvRGbvgNg%3D%3D;False;RoHS Compliant;;0;10
8 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_6_x_x___191_PLC_984_00-2483015.pdf;HDMI, Displayport & DVI Connectors HDMIFTV PLUG, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV6_SPL.jpg;HDMI, Displayport & DVI Connectors;186 Days;New Product;Amphenol Socapex;HDMIFTV6AZN;1;1;523-HDMIFTV6AZN;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV6AZN?qs=QNEnbhJQKvYLN9%252BTfeVsfA%3D%3D;False;RoHS Compliant;;0;8
18 In Stock;https://www.mouser.com/datasheet/2/18/1/Amphenol_brochure_hdmi_1-3105184.pdf;HDMI, Displayport & DVI Connectors HDMIFTV CAP BLACK;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;45 Days;New Product;Amphenol Socapex;HDMIFTVC7ZNF057;1;1;523-HDMIFTVC7ZNF057;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTVC7ZNF057?qs=t7xnP681wgWXeDTsEj5XfA%3D%3D;False;RoHS Compliant;;0;18
25 In Stock;https://www.mouser.com/catalog/specsheets/AMPHENOL_HDMI FTV 2 x x - 191-PLC-1039-00-AV.pdf;HDMI, Displayport & DVI Connectors HDMIFTV SQ FLG RECEPT, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;135 Days;New Product;Amphenol Socapex;HDMIFTV2AN;1;1;523-HDMIFTV2AN;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV2AN?qs=QNEnbhJQKvZmnPZ%2FMM%252BQSg%3D%3D;False;RoHS Compliant;;0;25
15 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV JAM NUT RECEPT;0;https://www.mouser.com/images/amphenol/images/HDMIFTV7A_SPL.jpg;HDMI, Displayport & DVI Connectors;140 Days;New Product;Amphenol Socapex;HDMIFTV7APEZN;1;1;523-HDMIFTV7APEZN;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7APEZN?qs=QNEnbhJQKvYSc1E8MRWlSQ%3D%3D;False;RoHS Compliant;;0;15
8 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV RED FLG, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;392 Days;New Product;Amphenol Socapex;HDMIFTV7ANF312;1;1;523-HDMIFTV7ANF312;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7ANF312?qs=QNEnbhJQKvYLp9J4xFvslg%3D%3D;False;RoHS Compliant;;0;8
8 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV RED FLG, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;163 Days;New Product;Amphenol Socapex;HDMIFTV7AGF312;1;1;523-HDMIFTV7AGF312;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7AGF312?qs=QNEnbhJQKvbbo%252BGmghXimw%3D%3D;False;RoHS Compliant;;0;8
21 In Stock;https://www.mouser.com/catalog/specsheets/AMPHENOL_HDMI FTV 2 x x - 191-PLC-1039-00-AV.pdf;HDMI, Displayport & DVI Connectors HDMIFTV SQ FLG RECEPT, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;168 Days;New Product;Amphenol Socapex;HDMIFTV2AG;1;1;523-HDMIFTV2AG;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV2AG?qs=QNEnbhJQKvYaqHmMVZLEVg%3D%3D;False;RoHS Compliant;;0;21
10 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV JAM NUT, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV7A_SPL.jpg;HDMI, Displayport & DVI Connectors;411 Days;New Product;Amphenol Socapex;HDMIFTV7AZNF459;1;1;523-HDMIFTV7AZNF459;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7AZNF459?qs=QNEnbhJQKvZLi59k9t9fLQ%3D%3D;False;RoHS Compliant;;0;10
10 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV JAM NUT RECEPT;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;376 Days;New Product;Amphenol Socapex;HDMIFTV7APEN;1;1;523-HDMIFTV7APEN;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7APEN?qs=QNEnbhJQKvapv2iJzLuoBQ%3D%3D;False;RoHS Compliant;;0;10
20 In Stock;https://www.mouser.com/catalog/specsheets/AMPHENOL_HDMI FTV 2 x x - 191-PLC-1039-00-AV.pdf;HDMI, Displayport & DVI Connectors HDMIFTV SQ FLG RECEPT, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;140 Days;New Product;Amphenol Socapex;HDMIFTV2ANF459;1;1;523-HDMIFTV2ANF459;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV2ANF459?qs=QNEnbhJQKvYnY6DOKBbYOA%3D%3D;False;RoHS Compliant;;0;20
8 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV RED FLG, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV7A_SPL.jpg;HDMI, Displayport & DVI Connectors;390 Days;New Product;Amphenol Socapex;HDMIFTV7APEZNF312;1;1;523-HDMIFTV7APZNF312;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7APEZNF312?qs=QNEnbhJQKvbWcDRef%252BFXtw%3D%3D;False;RoHS Compliant;;0;8
10 In Stock;https://www.mouser.com/datasheet/2/18/1/AMPHENOL_HDMI_FTV_7_x_x___191_PLC_1038_00_A-2483017.pdf;HDMI, Displayport & DVI Connectors HDMIFTV RED FLG, A CODE;0;https://www.mouser.com/images/amphenol/images/HDMIFTV_SPL.jpg;HDMI, Displayport & DVI Connectors;485 Days;New Product;Amphenol Socapex;HDMIFTV7AGF059;1;1;523-HDMIFTV7AGF059;None;https://eu.mouser.com/ProductDetail/Amphenol-Socapex/HDMIFTV7AGF059?qs=QNEnbhJQKvZLt72IC84Umg%3D%3D;False;RoHS Compliant;;0;10
